TimeStep,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
1.250000,1.492368,-0.989824,0.794403,0.374166,-0.499988,-0.616554,0.479451
1.260000,1.492192,-0.989589,0.794274,0.374223,-0.500003,-0.616562,0.479380
1.270000,1.492013,-0.989351,0.794143,0.374281,-0.500019,-0.616570,0.479308
1.280000,1.491832,-0.989109,0.794010,0.374340,-0.500036,-0.616578,0.479234
1.290000,1.491648,-0.988863,0.793875,0.374400,-0.500052,-0.616586,0.479160
1.300000,1.491461,-0.988615,0.793738,0.374461,-0.500069,-0.616595,0.479084
1.310000,1.491272,-0.988362,0.793599,0.374522,-0.500086,-0.616603,0.479007
1.320000,1.491080,-0.988106,0.793458,0.374585,-0.500103,-0.616612,0.478930
1.330000,1.490885,-0.987847,0.793316,0.374648,-0.500120,-0.616620,0.478851
1.340000,1.490688,-0.987584,0.793171,0.374712,-0.500138,-0.616629,0.478771
1.350000,1.490488,-0.987317,0.793025,0.374777,-0.500156,-0.616638,0.478689
1.360000,1.490286,-0.987047,0.792876,0.374843,-0.500174,-0.616647,0.478607
1.370000,1.490080,-0.986774,0.792726,0.374910,-0.500192,-0.616656,0.478524
1.380000,1.489872,-0.986496,0.792573,0.374978,-0.500211,-0.616666,0.478439
1.390000,1.489662,-0.986215,0.792418,0.375047,-0.500230,-0.616675,0.478353
1.400000,1.489448,-0.985931,0.792262,0.375117,-0.500249,-0.616685,0.478266
1.410000,1.489232,-0.985642,0.792103,0.375187,-0.500268,-0.616694,0.478178
1.420000,1.489013,-0.985351,0.791943,0.375259,-0.500288,-0.616704,0.478089
1.430000,1.488791,-0.985055,0.791780,0.375331,-0.500308,-0.616714,0.477999
1.440000,1.488567,-0.984755,0.791616,0.375405,-0.500328,-0.616724,0.477907
1.450000,1.488339,-0.984452,0.791449,0.375479,-0.500348,-0.616734,0.477814
1.460000,1.488109,-0.984145,0.791280,0.375554,-0.500369,-0.616744,0.477720
1.470000,1.487876,-0.983835,0.791109,0.375631,-0.500389,-0.616755,0.477625
1.480000,1.487640,-0.983520,0.790936,0.375708,-0.500411,-0.616765,0.477529
1.490000,1.487402,-0.983202,0.790761,0.375786,-0.500432,-0.616776,0.477431
1.500000,1.487160,-0.982880,0.790584,0.375865,-0.500454,-0.616787,0.477332
1.510000,1.486916,-0.982554,0.790405,0.375945,-0.500476,-0.616797,0.477232
1.520000,1.486668,-0.982224,0.790223,0.376026,-0.500498,-0.616808,0.477130
1.530000,1.486418,-0.981891,0.790040,0.376109,-0.500520,-0.616820,0.477028
1.540000,1.486165,-0.981553,0.789854,0.376192,-0.500543,-0.616831,0.476924
1.550000,1.485909,-0.981212,0.789666,0.376276,-0.500566,-0.616842,0.476819
1.560000,1.485650,-0.980866,0.789476,0.376361,-0.500589,-0.616854,0.476712
1.570000,1.485388,-0.980517,0.789284,0.376447,-0.500613,-0.616865,0.476604
1.580000,1.485123,-0.980164,0.789090,0.376534,-0.500636,-0.616877,0.476495
1.590000,1.484855,-0.979807,0.788894,0.376623,-0.500660,-0.616889,0.476385
1.600000,1.484584,-0.979445,0.788695,0.376712,-0.500685,-0.616901,0.476273
1.610000,1.484310,-0.979080,0.788494,0.376802,-0.500709,-0.616913,0.476160
1.620000,1.484033,-0.978711,0.788291,0.376893,-0.500734,-0.616925,0.476046
1.630000,1.483753,-0.978338,0.788086,0.376986,-0.500759,-0.616938,0.475931
1.640000,1.483470,-0.977960,0.787878,0.377079,-0.500785,-0.616950,0.475814
1.650000,1.483184,-0.977579,0.787668,0.377173,-0.500810,-0.616963,0.475695
1.660000,1.482895,-0.977194,0.787456,0.377269,-0.500836,-0.616976,0.475576
1.670000,1.482603,-0.976804,0.787242,0.377366,-0.500863,-0.616989,0.475455
1.680000,1.482308,-0.976411,0.787026,0.377463,-0.500889,-0.617002,0.475332
1.690000,1.482010,-0.976013,0.786807,0.377562,-0.500916,-0.617015,0.475209
1.700000,1.481708,-0.975611,0.786586,0.377662,-0.500943,-0.617028,0.475083
1.710000,1.481404,-0.975205,0.786363,0.377763,-0.500970,-0.617041,0.474957
1.720000,1.481096,-0.974795,0.786137,0.377865,-0.500998,-0.617055,0.474829
1.730000,1.480785,-0.974380,0.785909,0.377968,-0.501026,-0.617069,0.474700
1.740000,1.480471,-0.973962,0.785679,0.378072,-0.501054,-0.617082,0.474569
1.750000,1.480154,-0.973539,0.785447,0.378177,-0.501083,-0.617096,0.474437
1.760000,1.479834,-0.973112,0.785212,0.378283,-0.501112,-0.617110,0.474303
1.770000,1.479511,-0.972681,0.784975,0.378391,-0.501141,-0.617125,0.474168
1.780000,1.479184,-0.972246,0.784735,0.378500,-0.501170,-0.617139,0.474032
1.790000,1.478855,-0.971806,0.784493,0.378609,-0.501200,-0.617153,0.473894
1.800000,1.478522,-0.971362,0.784249,0.378720,-0.501230,-0.617168,0.473755
1.810000,1.478186,-0.970914,0.784003,0.378832,-0.501260,-0.617183,0.473614
1.820000,1.477846,-0.970462,0.783754,0.378945,-0.501291,-0.617197,0.473472
1.830000,1.477504,-0.970005,0.783503,0.379060,-0.501321,-0.617212,0.473328
1.840000,1.477158,-0.969544,0.783249,0.379175,-0.501353,-0.617228,0.473183
1.850000,1.476809,-0.969078,0.782993,0.379292,-0.501384,-0.617243,0.473036
1.860000,1.476456,-0.968608,0.782735,0.379410,-0.501416,-0.617258,0.472888
1.870000,1.476101,-0.968134,0.782474,0.379529,-0.501448,-0.617274,0.472738
1.880000,1.475742,-0.967656,0.782211,0.379649,-0.501480,-0.617289,0.472587
1.890000,1.475380,-0.967173,0.781945,0.379770,-0.501513,-0.617305,0.472434
1.900000,1.475014,-0.966686,0.781677,0.379893,-0.501546,-0.617321,0.472280
1.910000,1.474645,-0.966194,0.781407,0.380016,-0.501579,-0.617337,0.472124
1.920000,1.474273,-0.965698,0.781134,0.380141,-0.501613,-0.617353,0.471966
1.930000,1.473898,-0.965197,0.780858,0.380267,-0.501647,-0.617369,0.471807
